Discriminator Error: 7.7902984619140625, 0
Discriminator Error: 6.6781721115112305, 1
Discriminator Error: 6.32498025894165, 2
Discriminator Error: 5.229217529296875, 3
Discriminator Error: 5.887114524841309, 4
Discriminator Error: 5.678581237792969, 5
Discriminator Error: 5.342983722686768, 6
Discriminator Error: 6.1262688636779785, 7
Discriminator Error: 5.295548439025879, 8
Discriminator Error: 4.802484512329102, 9
Discriminator Error: 4.588176250457764, 10
Discriminator Error: 5.143089294433594, 11
Discriminator Error: 4.854089736938477, 12
Discriminator Error: 6.564449787139893, 13
Discriminator Error: 5.42708683013916, 14
Discriminator Error: 5.024066925048828, 15
Discriminator Error: 5.2732014656066895, 16
Discriminator Error: 4.923304080963135, 17
Discriminator Error: 5.2755937576293945, 18
Discriminator Error: 5.058504581451416, 19
Discriminator Error: 4.418548583984375, 20
Discriminator Error: 4.497934341430664, 21
Discriminator Error: 4.804773330688477, 22
Discriminator Error: 5.019744873046875, 23
Discriminator Error: 4.50391960144043, 24
Discriminator Error: 4.982683181762695, 25
Discriminator Error: 5.145015239715576, 26
Discriminator Error: 4.489707946777344, 27
Discriminator Error: 4.270291805267334, 28
Discriminator Error: 4.800387382507324, 29
Error Discriminator, 0.018887469831115597, 70
Error Discriminator, 0.01324999395164923, 71
Error Discriminator, 0.013378487508525723, 72
Error Discriminator, 0.023225809460773236, 73
Error Discriminator, 0.02596248487341654, 74
Error Discriminator, 0.01762059865970514, 75
Error Discriminator, 0.015210194948667776, 76
Error Discriminator, 0.03596395988577569, 77
Error Discriminator, 0.01597098034300416, 78
Error Discriminator, 0.01695428503889616, 79
Error Discriminator, 0.011770038141439726, 80
Error Discriminator, 0.009302501040110656, 81
Error Discriminator, 0.01872527424013242, 82
Error Discriminator, 0.008107736534366267, 83
Error Discriminator, 0.012109686089170282, 84
Error Discriminator, 0.017671793025183433, 85
Error Discriminator, 0.013293023907936003, 86
Error Discriminator, 0.025052537077717717, 93
Discriminator Error, 0.1510787308216095, 94
Discriminator Error, 0.04209677875041962, 95
Discriminator Error, 0.0006059632287360728, 96
Discriminator Error, 0.0002260468027088791, 97
Discriminator Error, 0.003682452952489257, 98
Error Discriminator, 0.01352428264421178, 98
Error Discriminator, 0.014391761832408896, 98
Error Discriminator, 0.0206324893010529, 99
Error Discriminator, 0.029862101583715158, 100
Error Discriminator, 0.0139831659254804, 101
Error Discriminator, 0.0324732542146008, 102
Error Discriminator, 0.03449188177051193, 103
Error Discriminator, 0.03701356658098263, 104
Error Discriminator, 0.028383526798538297, 105
Error Discriminator, 0.031018022106654584, 106
Error Discriminator, 0.01731846170903087, 107
Error Discriminator, 0.0174537451460252, 108
Error Discriminator, 0.03368876167001899, 109
Error Discriminator, 0.027028820806175004, 110
Error Discriminator, 0.025916824263395755, 111
Error Discriminator, 0.016826913657470216, 112
Error Discriminator, 0.03198444927591706, 113
Error Discriminator, 0.01969029584839467, 114
Error Discriminator, 0.01699818458238397, 115
Error Discriminator, 0.02852108807718986, 116
Error Discriminator, 0.023664309222934436, 117
Error Discriminator, 0.030446492392752388, 118
Error Discriminator, 0.03829973399937109, 119
Error Discriminator, 0.030124370240260986, 120
Error Discriminator, 0.024383661170850758, 121
Error Discriminator, 0.028483248022823204, 122
Error Discriminator, 0.0242916939974441, 123
Error Discriminator, 0.029613087382630056, 124
Error Discriminator, 0.024973780166327116, 125
Error Discriminator, 0.031393847097708434, 126
Error Discriminator, 0.035695755851707645, 127
Error Discriminator, 0.02487747355315986, 128
Error Discriminator, 0.029783875265886196, 129
Error Discriminator, 0.026096788747693098, 130
Error Discriminator, 0.02181978786225693, 131
Error Discriminator, 0.034349434510249834, 132
Error Discriminator, 0.03180983487644284, 133
Error Discriminator, 0.029245597663666103, 134
Error Discriminator, 0.028065020875422647, 135
Error Discriminator, 0.027978697958206452, 136
Error Discriminator, 0.0304523146225456, 137
Error Discriminator, 0.022664862024232492, 138
Error Discriminator, 0.02386596090517429, 139
Error Discriminator, 0.021747916942385644, 140
Error Discriminator, 0.027315241924643716, 141
Error Discriminator, 0.027708132628442853, 142
Error Discriminator, 0.026613350145258664, 143
Error Discriminator, 0.02823619970609343, 144
Error Discriminator, 0.026440131796072096, 145
Error Discriminator, 0.02256960316132249, 146
Error Discriminator, 0.02288922319790153, 147
Error Discriminator, 0.027288657838463536, 148
Error Discriminator, 0.0255344552611885, 149
Error Discriminator, 0.021468053787266256, 150
Error Discriminator, 0.031134267539558266, 151
Error Discriminator, 0.024925578586876215, 152
Error Discriminator, 0.030594088032362833, 153
Error Discriminator, 0.018942719330366117, 154
Error Discriminator, 0.023280661093849048, 155
Error Discriminator, 0.020546605517313098, 156
Error Discriminator, 0.025187056861364097, 157
Error Discriminator, 0.02656612804647219, 158
Error Discriminator, 0.024597751954055527, 159
Error Discriminator, 0.02245349728812539, 160
Error Discriminator, 0.030812938075930673, 161
Error Discriminator, 0.016236882669156925, 162
Error Discriminator, 0.020661855871088677, 163
Error Discriminator, 0.016794387762495804, 164
Error Discriminator, 0.015581199871366223, 165
Error Discriminator, 0.024139463458261075, 166
Error Discriminator, 0.03031563398149339, 167
Error Discriminator, 0.029835217480984624, 168
Error Discriminator, 0.02471079414264102, 169
Error Discriminator, 0.019963422530232876, 170
